operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,8,13,3,870,0,541,481,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,6,13,1,780,0,570,480,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,6,10,0,900,0,365,290,0 - (0.00)%,0 - (0.00)%
3,0,1260,2280,4,7,0,600,0,238,148,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,11,21,0,1530,0,756,621,9 - (42.86)%,720 - (47.06)%
5,0,1620,2280,7,15,0,1140,0,879,819,0 - (0.00)%,0 - (0.00)%
6,1,2160,2280,9,16,7,1290,0,930,885,9 - (56.25)%,870 - (67.44)%
7,0,1080,2280,9,19,2,1140,60,720,570,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.25,1.62,1031.25,7.5,624.88,536.75,9.0 - (49.55%),795.0 - (57.25%)
min,-,900,-,4,7,0,600,0,238,148,9 - (42.86%),720 - (47.06%)
25th percentile,-,1215.0,-,6.0,12.25,0.0,847.5,0.0,497.0,432.5,9.0 - (46.21%),757.5 - (52.16%)
75th percentile,-,1845.0,-,9.0,16.75,2.25,1177.5,0.0,786.75,670.5,9.0 - (52.9%),832.5 - (62.34%)
max,-,2160,-,11,21,7,1530,60,930,885,9 - (56.25%),870 - (67.44%)
total,-,12240,18240,60,114,13,8250,60,4999,4294,18,1590
