operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,7,20,0,1380,0,1029.9,924.9,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,9,16,0,1200,0,649.95,574.95,8 - (50.00)%,600 - (50.00)%
2,0,1020,2280,7,16,0,1170,150,540.04,405.04,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,6,16,0,1110,0,473.96,338.96,0 - (0.00)%,0 - (0.00)%
4,0,1380,2280,6,10,0,810,0,404.82,314.82,0 - (0.00)%,0 - (0.00)%
5,0,1740,2280,9,19,0,1260,0,495.89,375.89,0 - (0.00)%,0 - (0.00)%
6,0,1140,2280,7,13,0,870,0,537.08,462.08,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,11,20,0,1410,510,616.67,496.67,0 - (0.00)%,0 - (0.00)%
8,0,960,2280,11,24,0,1920,960,718.45,523.45,0 - (0.00)%,0 - (0.00)%
9,0,1200,2280,6,11,0,780,0,494.78,434.78,0 - (0.00)%,0 - (0.00)%
10,1,1980,2280,11,17,2,1350,0,795.23,705.23,6 - (35.29)%,510 - (37.78)%
11,0,1620,2280,4,6,0,480,0,313.58,313.58,0 - (0.00)%,0 - (0.00)%
12,1,1860,2280,6,16,0,1020,0,643.46,568.46,3 - (18.75)%,180 - (17.65)%
13,1,2040,2280,7,17,0,1170,0,656.86,566.86,12 - (70.59)%,870 - (74.36)%
14,0,1560,2280,6,14,0,1290,0,917.43,842.43,0 - (0.00)%,0 - (0.00)%
15,0,1320,2280,7,12,0,900,0,745.45,715.45,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,15.44,0.12,1132.5,101.25,627.1,535.22,7.25 - (43.66%),540.0 - (44.95%)
min,-,900,-,4,6,0,480,0,313.58,313.58,3 - (18.75%),180 - (17.65%)
25th percentile,-,1185.0,-,6.0,12.75,0.0,892.5,0.0,495.61,397.75,5.25 - (31.16%),427.5 - (32.75%)
75th percentile,-,1815.0,-,9.0,17.5,0.0,1305.0,0.0,725.2,607.52,9.0 - (55.15%),667.5 - (56.09%)
max,-,2160,-,11,24,2,1920,960,1029.9,924.9,12 - (70.59%),870 - (74.36%)
total,-,24120,36480,120,247,2,18120,1620,10033.55,8563.55,29,2160
