test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1507.5,2280.0,7.5,14.94,0.88,1080.0,18.75,671.77,581.77,9.75 - (55.62%),660.0 - (56.5%),23605.01,0.041356429,13444.9
1,mean,-,1507.5,2280.0,7.5,15.44,0.12,1132.5,101.25,627.1,535.22,7.25 - (43.66%),540.0 - (44.95%),11807.84,0.015527526,14022.75
2,mean,-,1507.5,2280.0,7.5,15.25,0.81,1074.38,33.75,778.24,700.43,9.75 - (48.83%),765.0 - (53.27%),23717.32,0.081841326,13658.4
3,mean,-,1507.5,2280.0,7.5,15.56,0.44,1110.0,46.88,729.52,629.21,6.5 - (38.69%),487.5 - (39.01%),16398.47,0.018374774,11938.55
4,mean,-,1507.5,2280.0,7.5,15.06,0.44,1123.12,52.5,667.1,581.79,6.75 - (42.09%),457.5 - (39.72%),16955.06,9.8093e-05,4623.21

0,total,-,24120,36480,120,239,14,17280,300,10748.289999999999,9308.29,39,2640,23605.01,0.041356429,13444.9
1,total,-,24120,36480,120,247,2,18120,1620,10033.55,8563.55,29,2160,11807.84,0.015527526,14022.75
2,total,-,24120,36480,120,244,13,17190,540,12451.869999999999,11206.869999999999,39,3060,23717.32,0.081841326,13658.4
3,total,-,24120,36480,120,249,7,17760,750,11672.33,10067.33,26,1950,16398.47,0.018374774,11938.55
4,total,-,24120,36480,120,241,7,17970,840,10673.65,9308.65,27,1830,16955.06,9.8093e-05,4623.21
