operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,9,20,3,1200,0,822.98,612.98,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,6,14,0,1050,0,559.84,424.84,9 - (64.29)%,750 - (71.43)%
2,0,1080,2280,9,15,2,960,0,377.52,152.52,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,9,13,5,1170,0,456.91,321.91,0 - (0.00)%,0 - (0.00)%
4,1,1980,2280,8,11,3,870,0,528.15,468.15,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,3,4,0,300,0,230.58,215.58,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,6,11,1,840,0,284.76,89.76,0 - (0.00)%,0 - (0.00)%
7,0,1440,2280,10,19,3,1230,0,708.94,588.94,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.38,2.12,952.5,0.0,496.21,359.34,4.5 - (32.15%),375.0 - (35.72%)
min,-,900,-,3,4,0,300,0,230.58,89.76,9 - (64.29%),750 - (71.43%)
25th percentile,-,1215.0,-,6.0,11.0,0.75,862.5,0.0,354.33,199.82,9.0 - (64.29%),750.0 - (71.43%)
75th percentile,-,1845.0,-,9.0,16.0,3.0,1177.5,0.0,597.12,498.35,9.0 - (64.29%),750.0 - (71.43%)
max,-,2160,-,10,20,5,1230,0,822.98,612.98,9 - (64.29%),750 - (71.43%)
total,-,12240,18240,60,107,17,7620,0,3969.6800000000003,2874.6800000000003,9,750
