operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,2040,2280,10,17,1,1260,0,702.24,582.24,10 - (58.82)%,840 - (66.67)%
1,1,2160,2280,11,17,6,1080,0,963.86,903.86,9 - (52.94)%,600 - (55.56)%
2,0,1380,2280,8,22,1,1440,60,1100.53,1100.53,0 - (0.00)%,0 - (0.00)%
3,0,1740,2280,9,17,0,1260,0,763.72,658.72,0 - (0.00)%,0 - (0.00)%
4,0,1320,2280,5,11,0,750,0,359.02,194.02,0 - (0.00)%,0 - (0.00)%
5,0,1200,2280,7,19,0,1320,120,859.75,799.75,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,9,14,3,1230,0,709.33,664.33,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,9,18,1,1140,0,1191.66,1176.66,11 - (61.11)%,660 - (57.89)%
8,0,1020,2280,7,21,0,1440,420,915.02,840.02,0 - (0.00)%,0 - (0.00)%
9,0,1140,2280,5,11,1,840,0,635.4,590.4,0 - (0.00)%,0 - (0.00)%
10,0,1800,2280,5,8,0,480,0,427.9,412.9,0 - (0.00)%,0 - (0.00)%
11,0,1440,2280,7,11,1,750,0,722.83,692.83,0 - (0.00)%,0 - (0.00)%
12,0,900,2280,7,16,1,1140,240,767.73,737.73,0 - (0.00)%,0 - (0.00)%
13,0,1560,2280,4,8,0,600,0,493.07,448.07,0 - (0.00)%,0 - (0.00)%
14,0,960,2280,7,14,0,1020,60,653.85,608.85,0 - (0.00)%,0 - (0.00)%
15,1,1860,2280,10,18,0,1200,0,1111.02,1081.02,8 - (44.44)%,540 - (45.00)%

mean,-,1507.5,2280.0,7.5,15.12,0.94,1059.38,56.25,773.56,718.25,9.5 - (54.33%),660.0 - (56.28%)
min,-,900,-,4,8,0,480,0,359.02,194.02,8 - (44.44%),540 - (45.00%)
25th percentile,-,1185.0,-,6.5,11.0,0.0,817.5,0.0,649.24,588.36,8.75 - (50.82%),585.0 - (52.92%)
75th percentile,-,1815.0,-,9.0,18.0,1.0,1260.0,60.0,927.23,855.98,10.25 - (59.39%),705.0 - (60.08%)
max,-,2160,-,11,22,6,1440,420,1191.66,1176.66,11 - (61.11%),840 - (66.67%)
total,-,24120,36480,120,242,15,16950,900,12376.93,11491.93,38,2640
