operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1440,2280,6,12,0,960,0,306.83,186.83,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,9,17,1,1200,120,420.87,180.87,0 - (0.00)%,0 - (0.00)%
2,0,900,2280,6,11,0,720,0,450.66,375.66,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,9,13,5,960,0,719.21,674.21,4 - (30.77)%,270 - (28.12)%
4,0,1800,2280,6,12,2,870,0,299.92,74.92,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,9,18,3,1440,0,761.64,641.64,9 - (50.00)%,600 - (41.67)%
6,0,1260,2280,5,8,0,690,0,230.56,155.56,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,10,20,2,1320,0,612.39,462.39,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.88,1.62,1020.0,15.0,475.26,344.01,6.5 - (40.38%),435.0 - (34.9%)
min,-,900,-,5,8,0,690,0,230.56,74.92,4 - (30.77%),270 - (28.12%)
25th percentile,-,1215.0,-,6.0,11.75,0.0,832.5,0.0,305.1,174.54,5.25 - (35.58%),352.5 - (31.51%)
75th percentile,-,1845.0,-,9.0,17.25,2.25,1230.0,0.0,639.1,507.2,7.75 - (45.19%),517.5 - (38.28%)
max,-,2160,-,10,20,5,1440,120,761.64,674.21,9 - (50.00%),600 - (41.67%)
total,-,12240,18240,60,111,13,8160,120,3802.08,2752.08,13,870
