operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,6,8,0,480,0,331,256,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,7,12,0,780,0,442,367,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,10,21,3,1410,0,697,547,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,8,20,3,1200,0,603,423,11 - (55.00)%,660 - (55.00)%
4,1,1980,2280,9,18,4,1200,0,684,579,8 - (44.44)%,570 - (47.50)%
5,0,900,2280,9,18,2,1260,360,742,637,0 - (0.00)%,0 - (0.00)%
6,0,1800,2280,9,19,1,1470,0,716,611,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,2,5,0,450,0,272,272,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.12,1.62,1031.25,45.0,560.88,461.5,9.5 - (49.72%),615.0 - (51.25%)
min,-,900,-,2,5,0,450,0,272,256,8 - (44.44%),570 - (47.50%)
25th percentile,-,1215.0,-,6.75,11.0,0.0,705.0,0.0,414.25,343.25,8.75 - (47.08%),592.5 - (49.38%)
75th percentile,-,1845.0,-,9.0,19.25,3.0,1297.5,0.0,701.75,587.0,10.25 - (52.36%),637.5 - (53.12%)
max,-,2160,-,10,21,4,1470,360,742,637,11 - (55.00%),660 - (55.00%)
total,-,12240,18240,60,121,13,8250,360,4487,3692,19,1230
