operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1320,2280,6,11,2,660,0,477.95,447.95,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,6,13,0,930,30,554.64,524.64,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,9,18,2,1140,0,909.38,864.38,4 - (22.22)%,240 - (21.05)%
3,0,960,2280,8,14,3,1170,210,620.91,605.91,0 - (0.00)%,0 - (0.00)%
4,0,1440,2280,7,18,1,1080,0,1050.57,1035.57,0 - (0.00)%,0 - (0.00)%
5,1,2040,2280,10,15,1,1020,0,864.28,819.28,11 - (73.33)%,720 - (70.59)%
6,0,1380,2280,10,16,5,1260,0,672.54,582.54,0 - (0.00)%,0 - (0.00)%
7,0,1020,2280,7,18,0,1080,60,550.82,430.82,0 - (0.00)%,0 - (0.00)%
8,0,1560,2280,7,12,3,960,0,703.92,688.92,0 - (0.00)%,0 - (0.00)%
9,1,1860,2280,7,13,1,1050,0,853.02,808.02,8 - (61.54)%,660 - (62.86)%
10,0,1140,2280,5,14,0,900,0,588.51,573.51,0 - (0.00)%,0 - (0.00)%
11,0,1740,2280,4,7,0,660,0,580.87,580.87,0 - (0.00)%,0 - (0.00)%
12,1,1980,2280,7,17,0,1170,0,843.82,723.82,4 - (23.53)%,330 - (28.21)%
13,0,1620,2280,8,10,3,720,0,719.44,689.44,0 - (0.00)%,0 - (0.00)%
14,0,1200,2280,8,11,3,810,0,420.46,330.46,0 - (0.00)%,0 - (0.00)%
15,0,1800,2280,11,20,7,1320,0,961.72,871.72,0 - (0.00)%,0 - (0.00)%

mean,-,1507.5,2280.0,7.5,14.19,1.94,995.62,18.75,710.8,661.12,6.75 - (45.16%),487.5 - (45.68%)
min,-,900,-,4,7,0,660,0,420.46,330.46,4 - (22.22%),240 - (21.05%)
25th percentile,-,1185.0,-,6.75,11.75,0.0,877.5,0.0,574.31,561.29,4.0 - (23.2%),307.5 - (26.42%)
75th percentile,-,1815.0,-,8.25,17.25,3.0,1147.5,0.0,855.84,810.84,8.75 - (64.49%),675.0 - (64.79%)
max,-,2160,-,11,20,7,1320,210,1050.57,1035.57,11 - (73.33%),720 - (70.59%)
total,-,24120,36480,120,227,31,15930,300,11372.849999999999,10577.849999999999,27,1950
