operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,900,2280,10,20,3,1260,360,658.65,568.65,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,2,4,0,360,0,222.67,222.67,0 - (0.00)%,0 - (0.00)%
2,1,2160,2280,9,15,2,1050,0,541.09,391.09,8 - (53.33)%,630 - (60.00)%
3,0,1800,2280,4,7,2,480,0,369.57,339.57,0 - (0.00)%,0 - (0.00)%
4,0,1620,2280,11,20,1,1410,0,693.78,618.78,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,9,18,2,1260,0,494.5,389.5,8 - (44.44)%,630 - (50.00)%
6,0,1440,2280,7,12,2,990,0,358.03,313.03,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,8,16,4,1230,0,487.55,292.55,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.0,2.0,1005.0,45.0,478.23,391.98,8.0 - (48.88%),630.0 - (55.0%)
min,-,900,-,2,4,0,360,0,222.67,222.67,8 - (44.44%),630 - (50.00%)
25th percentile,-,1215.0,-,6.25,10.75,1.75,862.5,0.0,366.68,307.91,8.0 - (46.66%),630.0 - (52.5%)
75th percentile,-,1845.0,-,9.25,18.5,2.25,1260.0,0.0,570.48,435.48,8.0 - (51.11%),630.0 - (57.5%)
max,-,2160,-,11,20,4,1410,360,693.78,618.78,8 - (53.33%),630 - (60.00%)
total,-,12240,18240,60,112,16,8040,360,3825.84,3135.84,16,1260
