test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,13.75,1.62,1008.75,41.25,514.18,424.18,9.5 - (54.44%),705.0 - (57.78%),17276.92,0,2.3
1,mean,-,1530.0,2280.0,7.5,12.0,3.5,858.75,22.5,578.23,495.73,4.5 - (35.26%),330.0 - (36.12%),31712.71,0,1.96
2,mean,-,1530.0,2280.0,7.5,14.62,1.12,1053.75,0.0,460.52,334.89,6.0 - (43.94%),510.0 - (48.61%),12917.27,0,2.03
3,mean,-,1530.0,2280.0,7.5,13.5,2.88,937.5,15.0,504.98,428.11,2.0 - (18.18%),180.0 - (23.07%),26703.08,0,2.18
4,mean,-,1530.0,2280.0,7.5,13.88,2.25,971.25,33.75,477.56,398.81,8.0 - (48.63%),555.0 - (50.38%),22187.4,0,2.25
5,mean,-,1530.0,2280.0,7.5,13.12,1.88,997.5,0.0,487.02,378.27,12.5 - (63.63%),960.0 - (65.56%),19436.32,0,2.41
6,mean,-,1530.0,2280.0,7.5,12.62,2.75,922.5,0.0,497.16,414.66,5.5 - (40.93%),405.0 - (38.16%),25691.01,0,2.22
7,mean,-,1530.0,2280.0,7.5,14.25,3.12,930.0,7.5,552.92,416.05,7.0 - (38.16%),465.0 - (40.86%),29170.92,1.3635e-05,2.34

0,total,-,12240,18240,60,110,13,8070,330,4113.43,3393.43,19,1410,17276.92,0,2.3
1,total,-,12240,18240,60,96,28,6870,180,4625.860000000001,3965.86,9,660,31712.71,0,1.96
2,total,-,12240,18240,60,117,9,8430,0,3684.14,2679.14,12,1020,12917.27,0,2.03
3,total,-,12240,18240,60,108,23,7500,120,4039.85,3424.85,4,360,26703.08,0,2.18
4,total,-,12240,18240,60,111,18,7770,270,3820.5,3190.5,16,1110,22187.4,0,2.25
5,total,-,12240,18240,60,105,15,7980,0,3896.1600000000003,3026.1600000000003,25,1920,19436.32,0,2.41
6,total,-,12240,18240,60,101,22,7380,0,3977.24,3317.24,11,810,25691.01,0,2.22
7,total,-,12240,18240,60,114,25,7440,60,4423.4,3328.4,14,930,29170.92,1.3635e-05,2.34
