operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,7,15,2,1050,0,794,704,0 - (0.00)%,0 - (0.00)%
1,0,1440,2280,7,16,2,1080,0,619,544,0 - (0.00)%,0 - (0.00)%
2,0,1080,2280,5,13,0,780,0,620,560,0 - (0.00)%,0 - (0.00)%
3,0,1800,2280,3,5,0,300,0,236,206,0 - (0.00)%,0 - (0.00)%
4,0,900,2280,10,16,1,1020,120,751,706,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,19,2,1530,0,714,669,8 - (42.11)%,600 - (39.22)%
6,0,1260,2280,9,15,6,1020,0,518,398,0 - (0.00)%,0 - (0.00)%
7,1,1980,2280,10,18,3,1200,0,648,558,7 - (38.89)%,480 - (40.00)%

mean,-,1530.0,2280.0,7.5,14.62,2.0,997.5,15.0,612.5,543.12,7.5 - (40.5%),540.0 - (39.61%)
min,-,900,-,3,5,0,300,0,236,206,7 - (38.89%),480 - (39.22%)
25th percentile,-,1215.0,-,6.5,14.5,0.75,960.0,0.0,593.75,507.5,7.25 - (39.7%),510.0 - (39.42%)
75th percentile,-,1845.0,-,9.25,16.5,2.25,1110.0,0.0,723.25,677.75,7.75 - (41.3%),570.0 - (39.8%)
max,-,2160,-,10,19,6,1530,120,794,706,8 - (42.11%),600 - (40.00%)
total,-,12240,18240,60,117,16,7980,120,4900,4345,15,1080
