operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,5,12,0,720,0,528,408,0 - (0.00)%,0 - (0.00)%
1,0,900,2280,6,11,1,900,0,390,240,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,8,16,1,1170,0,770,695,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,9,15,2,1170,0,604,484,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,5,8,0,480,0,165,0,0 - (0.00)%,0 - (0.00)%
5,1,2160,2280,9,16,5,1260,0,447,252,10 - (62.50)%,780 - (61.90)%
6,1,1980,2280,11,18,3,1410,0,751,646,8 - (44.44)%,690 - (48.94)%
7,0,1620,2280,7,21,0,1260,0,900,660,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.5,1046.25,0.0,569.38,423.12,9.0 - (53.47%),735.0 - (55.42%)
min,-,900,-,5,8,0,480,0,165,0,8 - (44.44%),690 - (48.94%)
25th percentile,-,1215.0,-,5.75,11.75,0.0,855.0,0.0,432.75,249.0,8.5 - (48.96%),712.5 - (52.18%)
75th percentile,-,1845.0,-,9.0,16.5,2.25,1260.0,0.0,755.75,649.5,9.5 - (57.98%),757.5 - (58.66%)
max,-,2160,-,11,21,5,1410,0,900,695,10 - (62.50%),780 - (61.90%)
total,-,12240,18240,60,117,12,8370,0,4555,3385,18,1470
