operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1260,2280,11,18,2,1320,60,477,387,0 - (0.00)%,0 - (0.00)%
1,0,1800,2280,6,13,0,900,0,407,332,0 - (0.00)%,0 - (0.00)%
2,1,1980,2280,10,18,0,1380,0,415,280,9 - (50.00)%,660 - (47.83)%
3,1,2160,2280,8,18,3,1170,0,553,358,8 - (44.44)%,480 - (41.03)%
4,0,1440,2280,6,13,0,1080,0,307,157,0 - (0.00)%,0 - (0.00)%
5,0,1080,2280,5,14,0,900,0,378,198,0 - (0.00)%,0 - (0.00)%
6,0,900,2280,8,18,1,1200,300,423,243,0 - (0.00)%,0 - (0.00)%
7,0,1620,2280,6,10,0,660,0,546,456,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.25,0.75,1076.25,45.0,438.25,301.38,8.5 - (47.22%),570.0 - (44.43%)
min,-,900,-,5,10,0,660,0,307,157,8 - (44.44%),480 - (41.03%)
25th percentile,-,1215.0,-,6.0,13.0,0.0,900.0,0.0,399.75,231.75,8.25 - (45.83%),525.0 - (42.73%)
75th percentile,-,1845.0,-,8.5,18.0,1.25,1230.0,15.0,494.25,365.25,8.75 - (48.61%),615.0 - (46.13%)
max,-,2160,-,11,18,3,1380,300,553,456,9 - (50.00%),660 - (47.83%)
total,-,12240,18240,60,122,6,8610,360,3506,2411,17,1140
