operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,9,17,1,1020,0,458.42,218.42,8 - (47.06)%,480 - (47.06)%
1,0,1080,2280,4,8,0,480,0,204.5,99.5,0 - (0.00)%,0 - (0.00)%
2,0,1260,2280,7,12,0,840,0,319.0,199.0,0 - (0.00)%,0 - (0.00)%
3,0,1440,2280,6,12,0,990,0,500.08,440.08,0 - (0.00)%,0 - (0.00)%
4,1,2160,2280,10,22,1,1410,0,529.21,319.21,11 - (50.00)%,690 - (48.94)%
5,0,1800,2280,9,19,1,1410,0,527.49,362.49,0 - (0.00)%,0 - (0.00)%
6,0,1620,2280,8,14,2,1080,0,509.73,389.73,0 - (0.00)%,0 - (0.00)%
7,0,900,2280,7,21,1,1290,390,508.48,403.48,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,15.62,0.75,1065.0,48.75,444.61,303.99,9.5 - (48.53%),585.0 - (48.0%)
min,-,900,-,4,8,0,480,0,204.5,99.5,8 - (47.06%),480 - (47.06%)
25th percentile,-,1215.0,-,6.75,12.0,0.0,952.5,0.0,423.56,213.56,8.75 - (47.8%),532.5 - (47.53%)
75th percentile,-,1845.0,-,9.0,19.5,1.0,1320.0,0.0,514.17,393.17,10.25 - (49.26%),637.5 - (48.47%)
max,-,2160,-,10,22,2,1410,390,529.21,440.08,11 - (50.00%),690 - (48.94%)
total,-,12240,18240,60,125,6,8520,390,3556.91,2431.91,19,1170
