operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1620,2280,6,16,0,1050,0,764,734,0 - (0.00)%,0 - (0.00)%
1,0,1080,2280,8,14,2,990,0,449,314,0 - (0.00)%,0 - (0.00)%
2,0,1440,2280,11,21,5,1320,0,1070,950,0 - (0.00)%,0 - (0.00)%
3,1,2160,2280,8,15,1,1050,0,640,550,5 - (33.33)%,420 - (40.00)%
4,0,900,2280,3,6,0,480,0,351,336,0 - (0.00)%,0 - (0.00)%
5,0,1260,2280,8,18,3,1170,0,737,632,0 - (0.00)%,0 - (0.00)%
6,1,1980,2280,9,19,0,1380,0,668,503,12 - (63.16)%,780 - (56.52)%
7,0,1800,2280,7,8,1,540,0,353,263,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,14.62,1.5,997.5,0.0,629.0,535.25,8.5 - (48.24%),600.0 - (48.26%)
min,-,900,-,3,6,0,480,0,351,263,5 - (33.33%),420 - (40.00%)
25th percentile,-,1215.0,-,6.75,12.5,0.0,877.5,0.0,425.0,330.5,6.75 - (40.79%),510.0 - (44.13%)
75th percentile,-,1845.0,-,8.25,18.25,2.25,1207.5,0.0,743.75,657.5,10.25 - (55.7%),690.0 - (52.39%)
max,-,2160,-,11,21,5,1380,0,1070,950,12 - (63.16%),780 - (56.52%)
total,-,12240,18240,60,117,12,7980,0,5032,4282,17,1200
