test number,type,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%),objective,optimalityGap,execution time
0,mean,-,1530.0,2280.0,7.5,12.88,2.88,933.75,30.0,530.48,419.86,7.0 - (50.0%),450.0 - (48.75%),26992.68,0,2.39
1,mean,-,1530.0,2280.0,7.5,14.0,2.38,963.75,0.0,542.96,456.71,6.0 - (37.65%),435.0 - (40.45%),23079.28,0,2.34
2,mean,-,1530.0,2280.0,7.5,13.12,2.88,918.75,15.0,522.18,435.93,6.5 - (40.59%),435.0 - (38.01%),26968.75,0,2.42
3,mean,-,1530.0,2280.0,7.5,12.25,3.75,851.25,11.25,658.31,549.56,9.0 - (61.09%),600.0 - (57.45%),34008.07,0,2.1
4,mean,-,1530.0,2280.0,7.5,13.5,2.12,978.75,0.0,523.58,427.96,5.5 - (36.16%),390.0 - (35.67%),20924.9,0,2.08
5,mean,-,1530.0,2280.0,7.5,13.12,2.75,892.5,52.5,502.26,399.14,4.0 - (25.79%),240.0 - (23.79%),25663.18,0,2.24
6,mean,-,1530.0,2280.0,7.5,14.0,2.0,960.0,41.25,615.85,538.98,6.5 - (37.72%),420.0 - (38.18%),20258.16,0,2.27
7,mean,-,1530.0,2280.0,7.5,14.38,1.75,1001.25,26.25,512.44,392.44,7.0 - (39.65%),495.0 - (41.25%),17945.48,0,2.31

0,total,-,12240,18240,60,103,23,7470,240,4243.85,3358.85,14,900,26992.68,0,2.39
1,total,-,12240,18240,60,112,19,7710,0,4343.66,3653.66,12,870,23079.28,0,2.34
2,total,-,12240,18240,60,105,23,7350,120,4177.47,3487.4700000000003,13,870,26968.75,0,2.42
3,total,-,12240,18240,60,98,30,6810,90,5266.4800000000005,4396.4800000000005,18,1200,34008.07,0,2.1
4,total,-,12240,18240,60,108,17,7830,0,4188.66,3423.66,11,780,20924.9,0,2.08
5,total,-,12240,18240,60,105,22,7140,420,4018.08,3193.08,8,480,25663.18,0,2.24
6,total,-,12240,18240,60,112,16,7680,330,4926.8,4311.8,13,840,20258.16,0,2.27
7,total,-,12240,18240,60,115,14,8010,210,4099.55,3139.55,14,990,17945.48,0,2.31
