operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,0,1800,2280,7,12,4,960,0,464.11,389.11,0 - (0.00)%,0 - (0.00)%
1,1,2160,2280,7,15,2,1020,0,532.44,457.44,6 - (40.00)%,360 - (35.29)%
2,0,1440,2280,5,12,0,840,0,427.27,397.27,0 - (0.00)%,0 - (0.00)%
3,0,900,2280,6,10,0,720,0,340.24,265.24,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,12,15,12,990,0,539.29,404.29,0 - (0.00)%,0 - (0.00)%
5,1,1980,2280,7,14,1,900,0,481.07,436.07,6 - (42.86)%,360 - (40.00)%
6,0,1620,2280,6,8,2,660,0,236.3,146.3,0 - (0.00)%,0 - (0.00)%
7,0,1260,2280,10,21,1,1320,60,566.15,401.15,0 - (0.00)%,0 - (0.00)%

mean,-,1530.0,2280.0,7.5,13.38,2.75,926.25,7.5,448.36,362.11,6.0 - (41.43%),360.0 - (37.64%)
min,-,900,-,5,8,0,660,0,236.3,146.3,6 - (40.00%),360 - (35.29%)
25th percentile,-,1215.0,-,6.0,11.5,0.75,810.0,0.0,405.51,358.14,6.0 - (40.72%),360.0 - (36.47%)
75th percentile,-,1845.0,-,7.75,15.0,2.5,997.5,0.0,534.15,412.24,6.0 - (42.14%),360.0 - (38.82%)
max,-,2160,-,12,21,12,1320,60,566.15,457.44,6 - (42.86%),360 - (40.00%)
total,-,12240,18240,60,107,22,7410,60,3586.87,2896.87,12,720
