operator,skill,contract time,max time,assigned patients,total visits,not executed visits,workload,overtime,travel time,interm. travel time,overskill visits (%),overskill time (%)
0,1,1980,2280,10,16,3,1380,0,441,216,9 - (56.25)%,840 - (60.87)%
1,0,1440,2280,7,9,1,630,0,430,355,0 - (0.00)%,0 - (0.00)%
2,0,1800,2280,6,11,0,990,0,502,412,0 - (0.00)%,0 - (0.00)%
3,0,1620,2280,7,14,0,1050,0,510,405,0 - (0.00)%,0 - (0.00)%
4,0,1080,2280,5,8,1,510,0,306,216,0 - (0.00)%,0 - (0.00)%
5,0,900,2280,8,18,0,1260,360,489,384,0 - (0.00)%,0 - (0.00)%
6,0,1260,2280,8,14,1,1200,0,734,614,0 - (0.00)%,0 - (0.00)%
7,1,2160,2280,9,21,1,1530,0,686,551,15 - (71.43)%,1110 - (72.55)%

mean,-,1530.0,2280.0,7.5,13.88,0.88,1068.75,45.0,512.25,394.12,12.0 - (63.84%),975.0 - (66.71%)
min,-,900,-,5,8,0,510,0,306,216,9 - (56.25%),840 - (60.87%)
25th percentile,-,1215.0,-,6.75,10.5,0.0,900.0,0.0,438.25,320.25,10.5 - (60.04%),907.5 - (63.79%)
75th percentile,-,1845.0,-,8.25,16.5,1.0,1290.0,0.0,554.0,446.75,13.5 - (67.64%),1042.5 - (69.63%)
max,-,2160,-,10,21,3,1530,360,734,614,15 - (71.43%),1110 - (72.55%)
total,-,12240,18240,60,111,7,8550,360,4098,3153,24,1950
